id,query,expected_answer,source
1,What is the governance procedure in force and its latest version regulating the suitability and composition of a credit institution's management body?,"«Institutions, financial holding companies and mixed financial holding companies shall have the primary responsibility for ensuring that members of the management body are at all times of sufficiently good repute and possess sufficient knowledge, skills and experience to perform their duties. Members of the management body shall, in particular, fulfil the requirements set out in paragraphs 2 to 8.»",EU-Lex
2,What are the key takeaways of CEOE reports affecting the financial sector?,"«The Spanish Confederation of Employers' Organizations (CEOE) brings together two million companies and self-employed workers across all sectors of activity.» Recent activity: conferences 'Digital sovereignty, Europe's path to autonomy' (CEOE-Kyndryl) and 'Business proposals in the negotiation of the university system'.",CEOE
4,What is the sector's stance (CECA) on banking regulation in Spain?,«Simplifying regulation would increase the Spanish banking sector's financing capacity by €250 billion» (ES: 'Simplificar la regulación aumentaría en 250.000 millones la capacidad de financiación del sector bancario en España'). Another release: the social welfare program (Obra Social) of member institutions exceeds €1 billion in investment.,CECA
5,What is the public market outlook and the sector and competitor signals in financial services per the consultancy's latest report?,"«...banks' continued strong results in 2025; the emergence of a new world map; the tipping point for customer ownership; and the unprecedented pace at which AI is remaking the industry, prompting banks to accelerate their [transformation].»",McKinsey (Featured Insights)
7,What are the competitor's (Nubank) annual KPIs and how did they evolve in 2023 against its company priorities?,«Quarterly amount lent increased from $0.9B in Q4'22 to $2B in Q4'23 (+100% FXN YoY) and IEP climbed from $2.0B in Q4'22 to $3.7B in Q4'23 (+76% FXN YoY). Quarterly Ultraviolet Credit Card Purchase Volume increased from $0.5B in Q4'22 to $1.1B in Q4'23 (+104% FXN YoY)... NuMEX deposits increased from $0 to $1B+ within 7 months from public launch; NuCOL was granted Financing Company License.»,Nubank (Results Center)
9,What new products and account features does the competitor (N26) offer?,"«N26 Smart: Mastercard debit card, up to 10 sub-accounts (Spaces), budgeting tools, free ATM withdrawals and commission-free purchase of stocks and ETFs. Requirements: over 18, residence in an eligible country and a valid ID.»",N26 (Product)
10,"What are the competitor's (Revolut) plans, prices and fee changes and how do they differ by tier?","«Standard — Free; Plus — £3.99/month; Premium — £7.99/month; Metal — £14.99/month; Ultra — £55/month (introductory offer). Declared annual benefits: Plus ~£100, Premium ~£1,750, Metal ~£3,750, Ultra >£9,000.»",Revolut (Pricing)
12,What new products and features has the competitor (Revolut) recently announced?,"«Revolut reveals 2025 vision, with AI assistant, mortgages, and ATMs on the horizon» and «Revolut reports record profit of $2.3bn for 2025 as revenue surges to $6bn».",Revolut (Newsroom)
14,What do users value and complain about in the competitor's (Revolut) app reviews?,"«4.7 out of 5 (69K Ratings). Featured review: 'Optionality for $160 year unbeatable' (praising the investment section and the high-yield account), alongside criticism such as 'Extremely Glitchy Compared to TransferWise' and 'One of the absolute worst apps I ever used'.»",Revolut (App Store reviews)
17,What senior-position profiles and requirements does a peer (BBVA) publish for leadership roles?,"«BBVA — Job portal (Workday, bbva.wd3.myworkdayjobs.com). Senior/leadership vacancies, e.g. 'Executive Director — Securitization, ABS Origination & Structuring' (New York), 'Data Engineering Senior Manager I', 'Software Senior Manager I (BSI)'. Each posting specifies area/location, seniority level, key responsibilities and required qualifications (years of experience, technical skills, languages).»",BBVA (Careers)
18,What is a peer's (BNP Paribas) leadership org structure and the responsibilities of each member?,«The General Management of BNP Paribas is composed of a Chief Executive Officer (CEO) plus two Chief Operating Officers and three Deputy Chief Operating Officers... The Executive Committee brings together the General Management as well as 14 other members.» CEO: Jean-Laurent Bonnafé; COOs: Yann Gérardin (CIB) and Thierry Laborde (CPBS); CFO: Lars Machenil; CRO: Frank Roncey.,BNP Paribas (Leadership bios)
20,What is the average CET1 capital ratio and NPL ratio of EU banks in the latest quarter?,"Recognised source: EBA Risk Dashboard – Data Annex Q1 2026 (.xlsx), tab ""Exposures and NPLs by Sector_1"" (Non-trading loans and advances to non-financial corporations by sector). Columns [lbl][Period][NSA][Custom][Value]. E.g. series lbl=T2410 · NSA=AT · Custom=""J Information and communication"": 202509→0.0213; 202512→0.0208; 202603→0.0215.",EBA (Risk Dashboard)
22,What capital and liquidity (LCR) levels do significant institutions supervised by the ECB report?,Source: ECB Supervisory Banking Statistics (significant institutions). Q3 2025: aggregate CET1 16.10% (Q2 2025: 16.12%; a year earlier: 15.73%); total capital 20.24%; annualised RoE 9.88%.,ECB (Banking Supervision)
24,"What has been the trend of Spain's GDP, inflation (HICP) and unemployment in recent years?","Source: Eurostat prc_hicp_aind (HICP, annual rate). Spain: 2025-09=3.0%; 2025-10=3.2%; 2025-11=3.2%; 2025-12=3.0% (euro area 2025-12=1.9%). [GDP: Eurostat tec00115, annual volume change].",Eurostat
26,What is the ECB's official interest rate and the latest M3 monetary aggregate?,Source: ECB Data Portal. MRR (main refinancing operations) = 2.40% and DFR (deposit facility) = 2.25% as of 2026-06-30. Euro area HICP (ICP) Dec-2025 = 1.9%.,ECB / EBA (Data Portal)
29,How have the federal funds rate and the US unemployment rate evolved over the last 24 months?,Source: FRED. EFFR (Effective Federal Funds Rate) = 3.63% (2026-06-26). UNRATE (unemployment) = 4.3% (May-2026; Apr 4.3; Mar 4.3; Feb 4.4; Jan 4.3).,Fed (FRED)
30,What is the aggregate credit exposure of the financial system in Brazil for the period?,"Source: BACEN SGS (API). Series 20539 (Total credit portfolio balance, R$ MM): 01/2026=7,123,926; 02/2026=7,151,082; 03/2026=7,221,534; 04/2026=7,245,265. Series 433 (IPCA % monthly): 05/2026=0.58.",BACEN (SGS)
32,Does a company (CNPJ) have registered tax debt or insolvency status in the Union's active-debt registry?,"Point query by CNPJ at listadevedores.pgfn.gov.br (not a time series): returns name/business name, CPF/CNPJ, consolidated amount and type of registration. No open public API (web search).",Dívida Ativa (PGFN)
33,What is a company's tax-compliance status (CNPJ) and address/activity verification in Brazil?,"Point query by CNPJ. Real e.g. (Receita Federal via BrasilAPI) CNPJ 18.236.120/0001-58 → 'NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO', registration status ACTIVE, CNAE 'Other auxiliary activities of financial services', São Paulo/SP.",Receita Federal (CNPJ)
35,What are the latest filings and capital changes of a company at the São Paulo commercial registry (JUCESP)?,Point query by company at jucesponline.sp.gov.br (requires registration/login; no public API). Returns registered corporate acts and their dates; not a time series.,JUCESP
36,How many new cars were registered in the EU and what is the battery-electric market share in the latest period?,"Source: ACEA / ECB Data Portal (dataset CAR). EU Jan-May 2026: 4,748,801 registrations (+4.0% YoY); battery-electric 950,521 (20% share). May 2026: EU 955,013 (+3.2%); BEV 203,417.",ACEA · ECB (CAR registrations)
37,What are the competitor's (Nubank) annual revenue and net income from its financial filings?,"Source: SEC EDGAR CompanyFacts API (CIK 0001691493, ifrs-full). Revenue (USD): 2022=4,792.2M; 2023=8,029.0M; 2024=11,517.1M. Net income (ProfitLoss): 2022=−364.6M; 2023=1,030.5M; 2024=1,972.1M.",SEC EDGAR (Nu Holdings)
39,"What are market earnings by occupation, including managers, for senior-role benchmarking?","Source: Eurostat Structure of Earnings Survey 2022 (earn_ses_pub2s). Median gross hourly earnings (PPS) by country, Oct 2022: Denmark 22.4; Belgium 21.3; Luxembourg 18.4; Germany 17.3; Ireland 17.0; lowest Bulgaria 6.7; Portugal 7.4.",Eurostat (Earnings Survey)
