vendor,id,query,expected_answer,actual_answer,ok,verdict,rationale
cala,1,What is the governance procedure in force and its latest version regulating the suitability and composition of a credit institution's management body?,"«Institutions, financial holding companies and mixed financial holding companies shall have the primary responsibility for ensuring that members of the management body are at all times of sufficiently good repute and possess sufficient knowledge, skills and experience to perform their duties. Members of the management body shall, in particular, fulfil the requirements set out in paragraphs 2 to 8.»","The governance procedures regulating the suitability and composition of credit institution management bodies are governed by a layered regulatory framework in the European Union. The primary procedures currently in force are:

## Primary Governance Procedures

**1. Joint ESMA and EBA Guidelines on Suitability Assessment (EBA/GL/2021/06)**
- **Official Title:** EBA Guidelines of 2 July 2021 on the assessment of the suitability of members of the management body and key function holders
- **Latest Version:** Issued on 2 July 2021
- **Scope:** These guidelines specifically address the suitability assessment of management body members and key function holders in credit institutions, banks, investment firms, third-country branches, and financial holding companies.

**Key Requirements:**
- Members must be of good repute and possess adequate knowledge, skills, and experience
- Institutions must conduct suitability assessments before appointment and on an ongoing basis
- Competent authorities may also assess suitability
- Institutions must specify annual time commitment expectations for each member
- Compliance with directorship-counting obligations under Article 91(3) of the Capital Requirements Directive
- Newly appointed members must receive induction within one month and complete training within six months, covering ICT-related risks, ESG factors, AI technologies, and diversity
- Institutions must maintain records and report assessment results to competent authorities
- Assessment must consider both individual and collective suitability of the management body

**2. EBA Guidelines on Internal Governance (EBA/GL/2021/05)**
- **Official Title:** Guidelines on internal governance under Directive 2013/36/EU
- **Latest Version:** Issued in 2021
- **Scope:** These guidelines establish comprehensive internal governance requirements for credit institutions.

**Key Requirements:**
- Documented roles and duties for each management body member, senior manager, and key function holder
- Written rules on appointment and composition procedures, including diversity considerations (age, gender, geographic origin, educational and professional background)
- The president of the management body must ensure well-balanced composition
- Holistic risk management framework subject to independent review
- Oversight of financial reporting integrity and internal control frameworks
- At least every three years, institutions must assign an independent external consultant to review and evaluate the composition, efficiency, and effectiveness of the management body and its committees

## Legislative Foundation

These guidelines operationalize **Directive 2013/36/EU (Capital Requirements Directive - CRD)**, enacted in 2013, which provides the foundational legal requirements:
- **Article 88:** Requires the management body to define, oversee, and be accountable for governance arrangements, including written rules on appointment and composition
- **Article 91:** Establishes that management body members must be of sufficiently good repute and possess sufficient knowledge, skills, and experience; imposes directorship-counting limits; and requires adequate resources for induction and training

The 2021 guidelines represent the latest versions of these governance procedures and align with recent regulatory developments including CRD VI and the Digital Operational Resilience Act (DORA).",True,PARTIAL,"The system's answer correctly identifies that institutions have responsibility for ensuring management body members meet suitability requirements (good repute, knowledge, skills, experience) as stated in the reference. However, the question asks for 'the governance procedure in force and its latest version' (singular), while the system provides an extensive multi-layered framework without clearly identifying which single procedure the reference answer comes from, making it materially less focused than expected."
cala,2,What are the key takeaways of CEOE reports affecting the financial sector?,"«The Spanish Confederation of Employers' Organizations (CEOE) brings together two million companies and self-employed workers across all sectors of activity.» Recent activity: conferences 'Digital sovereignty, Europe's path to autonomy' (CEOE-Kyndryl) and 'Business proposals in the negotiation of the university system'.","Based on the available information, while specific recent CEOE reports exclusively focused on the financial sector were not identified, CEOE (Confederación Española de Organizaciones Empresariales) - Spain's main employers' confederation - produces analysis and reports on economic and financial matters through its dedicated Commission on Economy and Financial Policy. Here are the key takeaways from CEOE's work affecting the financial sector:

## Key Focus Areas of CEOE's Financial Sector Work

**1. Monitoring and Analysis Mandate**
CEOE's Economy and Financial Policy Working Group (Grupo de Trabajo de Economía y Política Financiera) is responsible for:
- Monitoring the economic and financial situation of major world economies, with particular focus on Spain
- Analyzing Spanish economic sectors' outlook, risks, and challenges
- Assessing Spanish government economic policy measures affecting business competitiveness and financial policy
- Evaluating European Central Bank (ECB) and European Commission policy measures and their impact on Spain's economy and financial system
- Tracking financial markets and evaluating global risks and their effects on the real economy

**2. Priority Reforms for the Financial System**
In CEOE's notable report ""Las reformas necesarias para salir de la crisis"" (The reforms needed to exit the crisis), the confederation identified **restructuring of the financial system** as one of the four reforms with the greatest positive impact on economic growth, alongside:
- Labour market reform
- Market Unity Guarantee Law
- Entrepreneurs Support Law

**3. European Financial Policy Engagement**
Through its CEOExEuropa portal, CEOE publishes regular communications on EU economic and financial policy, including:
- Analysis of Eurogroup and ECOFIN Council outcomes
- Discussions on the EU Savings and Investment Union
- European securitization platforms
- The digital euro initiative
- Banking sector competitiveness debates (CEOE has hosted debates in Brussels on this topic)

**4. Context: Spain's Strong Financial Sector Performance (2026)**
While not from CEOE reports specifically, the broader context shows Spain's financial sector is performing strongly:
- Spanish banks lead Europe in efficiency with a 37% cost-to-income ratio
- Spain's economy is outperforming European peers with 2.7% year-on-year GDP growth in Q1 2026
- 417 fintech entities identified in Spain as of June 2026, with combined balance sheets up 23.4% to €2.53 billion
- Major Spanish banks like Santander and CaixaBank reporting favorable trends

For the most current CEOE publications and reports on financial sector matters, the confederation's official publications page (ceoe.es) and its Economy and Financial Policy commission are the primary channels to consult.",True,FAIL,"The system's answer provides extensive detail about CEOE's financial policy work and structure but completely misses the reference answer's key facts: that CEOE represents two million companies and self-employed workers, and the specific recent conferences on 'Digital sovereignty' and 'Business proposals in university system negotiation.' The system instead discusses financial sector analysis that wasn't mentioned in the reference."
cala,4,What is the sector's stance (CECA) on banking regulation in Spain?,«Simplifying regulation would increase the Spanish banking sector's financing capacity by €250 billion» (ES: 'Simplificar la regulación aumentaría en 250.000 millones la capacidad de financiación del sector bancario en España'). Another release: the social welfare program (Obra Social) of member institutions exceeds €1 billion in investment.,"CECA (Confederación Española de Cajas de Ahorro), the Spanish Savings Banks Association founded in 1928, has a comprehensive stance on banking regulation in Spain that emphasizes several key priorities:

## Core Regulatory Positions

**1. Regulatory Simplification for Competitiveness**
CECA, together with the Spanish Banking Association (AEB), advocates strongly for regulatory simplification at the EU level. According to CECA Managing Director Antonio Romero, ""simplification is not an objective in itself; it is the only way to improve European competitiveness and autonomy."" Their specific proposals include:
- Simplifying the macroprudential framework to avoid duplication between agencies
- Improving accountability in the regulatory process
- Incorporating ex-post evaluation of rules
- Ensuring regulatory proportionality

**2. Opposition to Permanent Bank Tax**
CECA and AEB have jointly rejected the Spanish government's proposal to make the temporary bank levy permanent. They argue this would make Spain the only European jurisdiction with such a permanent tax, creating a competitive disadvantage for Spanish banks and contradicting recommendations from the European Central Bank (ECB) and International Monetary Fund (IMF).

**3. Completion of the Banking Union**
CECA advocates for completing the EU Banking Union, including establishing a single European Deposit Guarantee Fund (EDIS) and advancing the Savings and Investment Union (SIU).

**4. European Payments Sovereignty**
The association supports the interconnection of European payment systems and European sovereignty in payments, backing the European Payments Alliance (EuroPA) and the expansion of Bizum across 13 European countries.

**5. Digital Resilience**
CECA has been active on the Digital Operational Resilience Act (DORA), co-organizing conferences on its impact and RegTech trends in banking, covering cybersecurity, cloud regulation, and effects on banks and technology companies.

**6. Sustainable Finance**
CECA supports EU sustainability regulation goals, including due diligence in the sustainability value chain, while calling for rules that strengthen the role of credit institutions in the sustainable transition.

**7. Financial Inclusion and Social Investment**
CECA positions its sector as the leading private social investor in Spain through its foundations and Obra Social programs, advocating for proximity banking to close the financial gap.

CECA engages at both national and EU levels through position papers, consultations, and partnerships with European banking federations (ESBG, WSBI) to shape policy on financial markets, digital banking, competition law, climate finance, and consumer protection.",True,PARTIAL,"The system's answer mentions regulatory simplification as a priority and references the Obra Social program exceeding €1 billion in social investment, which aligns with the reference answer. However, it does not include the specific claim that simplifying regulation would increase financing capacity by €250 billion, which is a key quantitative fact in the reference answer."
cala,5,What is the public market outlook and the sector and competitor signals in financial services per the consultancy's latest report?,"«...banks' continued strong results in 2025; the emergence of a new world map; the tipping point for customer ownership; and the unprecedented pace at which AI is remaking the industry, prompting banks to accelerate their [transformation].»","Based on the latest consultancy and industry reports on financial services, here is the public market outlook and key sector and competitor signals:

## Public Market Outlook

**Banking Sector Strength**: Most banking sectors entered 2026 from a position of strength, with robust capital ratios, strong liquidity buffers, and healthy credit quality. This provides resilience against potential headwinds and opportunities for expansion.

**Rate Environment**: After a year of major central bank easing in 2025, the Federal Reserve cut rates at its last three meetings, bringing the target range to 3.50–3.75%. Market pricing suggests at least two further 25-basis-point cuts are expected in 2026, though some Fed officials have indicated a pause may be warranted.

**Credit Quality**: Credit quality remains broadly healthy but mixed across segments, requiring continued monitoring.

**M&A Activity**: Consolidation and deal activity remain strong in the sector, with notable transactions such as Bill Ackman's $2.1 billion deal for insurer Vantage.

**Insurance Market Dynamics**: The insurance sector shows diverging narratives. Property/catastrophe reinsurance pricing is softening, with Moody's projecting approximately 15% price declines at the January 2026 renewals—a potential margin tailwind for primary insurers but a headwind for reinsurers. Health insurance remains politically sensitive with ongoing subsidy policy and medical cost trend concerns.

## Sector and Competitor Signals

**AI Moving to the Core**: Artificial intelligence has shifted from a support tool to a central operating system across financial services. Agentic AI—autonomous agents handling compliance, fraud detection, anti-money laundering investigations, and customer engagement—is the breakout use case for 2026. The global AI-agents-in-financial-services market was estimated at USD 691 million in 2025 and is projected to reach USD 6.7 billion by 2033 (CAGR ~31.5%), with North America holding approximately 38% of revenue.

**Fintech Maturation - Depth Over Breadth**: The fintech sector has transitioned from growth-at-all-costs to profitability, regulatory compliance, and operational resilience. The 2026 landscape favors:
- Institutional solutions over retail plays
- Regulatory infrastructure over flashy interfaces
- Profitable unit economics over growth-at-all-costs

Fintechs have evolved from disruptors to heavily regulated institutions holding EMI, PI, MiFID, banking, and MiCAR licenses, reflecting their maturation into core infrastructure providers.

**Regulatory Evolution**: Several major regulatory frameworks are shaping the competitive landscape:
- **DORA** (Digital Operational Resilience Act) - strengthening cybersecurity and IT risk management for EU financial firms
- **PSD3** - next-generation payments regulation enhancing data integrity and consumer protection
- **DAC8** - expanding tax transparency for digital assets
- **MiCAR** - Markets in Crypto Assets Regulation, bringing crypto firms under formal licensing

As regulators shift from guidance to enforcement, institutions need AI systems that are ""accurate, governed, and defensible,"" creating opportunities for regtech vendors.

**Stablecoins & Tokenized Assets**: Stablecoins are moving from pilot stage to ""plumbing""—becoming settlement infrastructure embedded in mainstream payments. Tokenized assets are maturing alongside them, signaling a shift toward more programmable, automated financial systems.

**Embedded Finance**: Embedded finance is moving beyond early adopters to become the default model across retail, healthcare, and education, with traditional banks increasingly operating as infrastructure providers rather than customer-facing entities.

**Real-Time Payments**: Real-time payments are becoming the global standard, reshaping competitive dynamics in the payments sector.

**Transparency as Competitive Advantage**: ESG standards and responsible AI use are becoming key criteria for both investors and regulators. Verified information, visible licensing, and authentic customer reviews are emerging as primary trust indicators. Transparency is now a strategic differentiator, not just a compliance requirement.

**Consulting Demand**: Financial services accounted for approximately 24% of the global management consulting market in 2025, driven by digital banking transformations, capital-efficiency programs, and compliance overhauls—indicating sustained investment in transformation initiatives across the sector.",True,PARTIAL,"The system's answer extensively covers AI remaking the industry and provides detailed sector signals, which aligns with parts of the reference. However, it fails to mention the specific key points from the reference: banks' continued strong results in 2025, the emergence of a new world map, and the tipping point for customer ownership, making it incomplete despite providing relevant information."
cala,7,What are the competitor's (Nubank) annual KPIs and how did they evolve in 2023 against its company priorities?,«Quarterly amount lent increased from $0.9B in Q4'22 to $2B in Q4'23 (+100% FXN YoY) and IEP climbed from $2.0B in Q4'22 to $3.7B in Q4'23 (+76% FXN YoY). Quarterly Ultraviolet Credit Card Purchase Volume increased from $0.5B in Q4'22 to $1.1B in Q4'23 (+104% FXN YoY)... NuMEX deposits increased from $0 to $1B+ within 7 months from public launch; NuCOL was granted Financing Company License.»,"Based on the available data, here is an overview of Nubank's annual KPIs and their evolution in 2023 against company priorities:

## **2023 Annual KPIs**

### **Customer Growth**
- **Q1 2023**: 79.1 million customers (pre-announced)
- **Mid-2023**: Surpassed 80 million Brazilian consumers
- **End of 2023**: Approaching 100 million total customers across Brazil, Mexico, and Colombia (milestone officially reached in May 2024)
- **Financial Inclusion Impact**: Helped 28.4 million Brazilian customers gain access to their first credit card

### **Financial Performance**
- **First Full-Year Net Profit**: Approximately US$1 billion in 2023 (reported in February 2024) - a landmark achievement marking Nubank's first annual profit at this scale
- **Revenue Growth**: Strong year-over-year growth driven by expanding credit portfolios and rising net interest income
- **Efficiency Ratio**: 39% in Q1 2023, placing Nubank among the most efficient financial institutions in Latin America
- **Capitalization**: 18.7% Basel Index in Brazil in Q1 2023, demonstrating strong capital position
- **Credit Quality**: Delinquency rates remained within management expectations throughout the year

### **Credit Portfolio**
- Significant year-over-year expansion driven primarily by Brazilian operations and growing credit portfolios in Mexico

## **Evolution Against Company Priorities in 2023**

### **1. Geographic Expansion in Latin America** ✓
- **Brazil**: Continued deepening penetration, serving over 92 million customers by year-end
- **Mexico**: Successfully launched credit card that attracted over 1 million users within the first month
- **Colombia**: Fastest-growing market; planned to introduce digital account in 2023

### **2. Financial Inclusion** ✓
- Successfully provided 28.4 million Brazilians with their first credit card
- CEO David Vélez emphasized removing barriers that kept millions outside the formal financial system
- Customers saved US$28.1 billion in fees cumulatively

### **3. Operating Leverage and Efficiency** ✓
- Achieved 39% efficiency ratio in Q1 2023, among the best in Latin America
- CFO Guilherme Lago highlighted continuous scale gains in Brazil
- Improved asset-liability management in Mexico, reducing deposit costs while growing credit portfolio

### **4. Super App Strategy** ✓
- Integrated e-commerce and lifestyle services directly into the banking app
- Evolved from transactional tool to daily utility
- Achieved 86% monthly engagement rate

### **5. Customer-Centricity and Recognition** ✓
- Named best bank in Brazil and Mexico by Forbes
- Recognized by Central Bank of Brazil as having one of the lowest complaint rates in the sector
- Became the first digital banking platform outside Asia to approach 100 million customers

### **6. Path to Profitability** ✓
- Achieved first full-year net profit of ~US$1 billion in 2023
- Strong capitalization with 18.7% Basel Index
- Maintained credit quality with delinquencies within expectations

## **Key Takeaways**

Nubank's 2023 performance demonstrated exceptional execution against all major strategic priorities. The company successfully:
- Scaled to nearly 100 million customers while maintaining operational efficiency
- Achieved its first full-year profitability milestone
- Expanded successfully across all three Latin American markets
- Maintained strong credit quality and capitalization
- Deepened customer engagement and earned industry recognition

The 2023 results positioned Nubank as the largest digital bank in Latin America and set the foundation for subsequent expansion plans, including the eventual U.S. market entry announced in 2025.",True,FAIL,"The reference answer provides specific quarterly KPIs with precise dollar amounts for lending ($0.9B to $2B), IEP ($2.0B to $3.7B), Ultraviolet Credit Card Purchase Volume ($0.5B to $1.1B), NuMEX deposits ($0 to $1B+), and NuCOL licensing information. The system's answer, while comprehensive about customer growth and profitability, does not include any of these specific quarterly financial metrics that were explicitly requested in the question about 'annual KPIs and how they evolved in 2023.'"
cala,9,What new products and account features does the competitor (N26) offer?,"«N26 Smart: Mastercard debit card, up to 10 sub-accounts (Spaces), budgeting tools, free ATM withdrawals and commission-free purchase of stocks and ETFs. Requirements: over 18, residence in an eligible country and a valid ID.»","N26, a German fintech and mobile banking company founded in 2013, offers a comprehensive range of products and account features across both personal and business banking segments:

## Personal Account Tiers

**N26 Standard (Free)**
- Virtual Debit Mastercard with no maintenance fees or minimum balance
- Mobile payments via Apple Pay, Google Pay, Samsung Wallet, and Garmin Pay
- Insights spending tracker
- SEPA Instant Credit transfers

**N26 Smart (€4.90/month)**
- Physical Mastercard debit card (choice of 5 colors)
- Up to 6 virtual cards
- 3 free domestic ATM withdrawals per month
- Up to 10 Spaces sub-accounts with IBANs
- Shared Spaces feature
- Instant Savings account
- Rules for automatic saving

**N26 Go (€9.90/month)**
- All Smart features plus:
- Travel insurance by Allianz Assistance (travel/baggage delays, baggage loss, medical emergencies abroad up to €1,000,000/trip, trip cancellation up to €10,000)
- No foreign transaction fees
- Free foreign-currency ATM withdrawals worldwide
- 3 free stock/ETF trades per month

**N26 Metal (€16.90/month)**
- All Go features plus:
- Stainless-steel metal Mastercard (charcoal black, rose quartz, or slate grey)
- Extended insurance (smartphone theft/damage cover up to €2,000, purchase protection)
- 10 free stock/ETF trades per month
- Priority customer support
- One free airport lounge pass per year
- Market-leading Instant Savings interest rate
- Discounted crypto trading fees

## Business Accounts

N26 offers four business account tiers for freelancers and the self-employed:
- **Business Standard** (Free)
- **Business Smart** (Paid tier with enhanced features)
- **Business Go** (includes travel insurance by Allianz and 0.1% cashback on all Mastercard purchases)
- **Business Metal** (Premium business account)

## Key Product Features

**Spaces Sub-Accounts**
Launched in August 2018, Spaces allows customers to create up to 10 sub-accounts alongside their main account for budgeting and saving goals, each with its own IBAN (introduced in March 2022).

**Investment Products**
- **Stocks, ETFs & ETCs Trading**: Launched in January 2024, customers can buy and sell stocks, ETFs, and ETCs directly in the N26 app at €0.90 per trade (with free trades included on Go and Metal plans)

**N26 Crypto**
Launched initially in Austria in late 2022 and expanded to Germany, Switzerland, Belgium, Portugal, Ireland, France, and Spain:
- Access to over 350 cryptocurrencies (one of the largest selections in a European banking app)
- Fully integrated into the N26 app's ""Trading"" section
- Instant transactions with transparent fee structure
- N26 Metal customers: 1% fee for Bitcoin, 2% for other cryptocurrencies
- Other customers: 1.5% fee for Bitcoin, 2.5% for other cryptocurrencies
- Partnership with Bitpanda Asset Management GmbH for execution and custody

**Insurance Coverage**
Travel and personal insurance packages by Allianz Assistance on Go and Metal tiers, covering:
- Travel delays (up to €500)
- Trip cancellation/interruption (up to €10,000)
- Baggage loss (up to €2,000)
- Medical emergencies abroad (up to €1,000,000)
- Personal liability (up to €500,000)

**Additional Features**
- Instant Savings: Flexible savings account accessible anytime
- Rules & Round-ups: Automated saving tools
- Income Sorter: Automatic income distribution feature
- Real-time notifications for every transaction
- 100% mobile account management
- Deposit protection up to €100,000 by the German Deposit Guarantee Scheme",True,PASS,"The system's answer comprehensively covers all key facts from the reference answer about N26 Smart, including the Mastercard debit card, up to 10 sub-accounts (Spaces), budgeting tools (listed as 'Rules for automatic saving'), and commission-free stock/ETF purchases (mentioned under N26 Go with 3 free trades/month). While the system provides significantly more detail than the reference and doesn't explicitly state the eligibility requirements, it accurately captures and expands upon all the core product features mentioned in the reference."
cala,10,"What are the competitor's (Revolut) plans, prices and fee changes and how do they differ by tier?","«Standard — Free; Plus — £3.99/month; Premium — £7.99/month; Metal — £14.99/month; Ultra — £55/month (introductory offer). Declared annual benefits: Plus ~£100, Premium ~£1,750, Metal ~£3,750, Ultra >£9,000.»","## Revolut's Pricing Plans, Tiers, and Fee Structure

Revolut offers two main product lines—**Personal** and **Business**—each with multiple tiers that differ significantly in pricing and features.

---

### **Personal Plans**

Revolut's personal banking has five tiers:

| Plan | UK Monthly Fee | EUR Monthly Fee | Key Features |
|------|----------------|-----------------|--------------|
| **Standard** | Free | Free | Basic money management, budgeting, send money abroad |
| **Plus** | £3.99/mo (£40/yr) | €2.99/mo | Better spending-abroad limits, purchase insurance |
| **Premium** | £7.99/mo (£80/yr) | €8.99/mo | Exclusive subscriptions, better savings rates, unlimited FX exchange |
| **Metal** | £14.99/mo (£140/yr) | €15.99/mo | Travel insurance, enhanced limits, subscriptions worth ~£2,200/€2,700 annually |
| **Ultra** | £55/mo | €65/mo | Unlimited airport lounge access, global data, partner subscriptions, cancellation cover |

#### **Key Personal Fees by Tier:**

**Currency Exchange:**
- **Standard:** Free up to £1,000/month; 1% fee beyond limit; 1% weekend surcharge
- **Plus:** Free up to £3,000/month; 0.5% fee beyond limit; 0.5% weekend surcharge
- **Premium/Metal/Ultra:** Unlimited free exchange; no weekend fees

**ATM Withdrawals:**
- **Standard:** £200 or 5 withdrawals free/month; 2% fee beyond
- **Plus:** £200 free/month; 2% fee beyond
- **Premium:** £400 free/month; 2% fee beyond
- **Metal:** £800 free/month; 2% fee beyond
- **Ultra:** £2,000 free/month; 2% fee beyond

**International Transfers:**
- **Standard/Plus:** Standard fees apply
- **Premium:** 20% discount on transfer fees
- **Metal:** 40% discount on transfer fees
- **Ultra:** Unlimited transfers at no cost

**Crypto Trading:**
- **Standard/Plus:** 1.49% per trade
- **Premium:** 0.99% per trade
- **Metal/Ultra:** 0.49% starting rate (reduces with volume)

**Stock Trading:**
- **Standard–Metal:** 0.25% commission (minimum £1)
- **Ultra:** 0.12% commission (minimum £1)

**Physical Card:**
- **Standard/Plus:** £4.99
- **Premium/Metal/Ultra:** Free (first card)

---

### **Business Plans**

Revolut Business offers four tiers with regional pricing:

| Plan | UK | Eurozone | US | Best For |
|------|-------|----------|-----|----------|
| **Basic** | £10/mo | €10/mo | $10/mo | Getting started with core features |
| **Grow** | From £30/mo | €30–35/mo | $40/mo | Managing spend with ease (save up to 14% annually) |
| **Scale** | From £90/mo | €90–135/mo | $140/mo | Expanding globally (save up to 28% annually) |
| **Enterprise** | Custom | Custom | Custom | Tailored to exact business needs |

#### **Key Business Fees by Tier:**

**Local Transfers:**
- **Basic:** 10 free/month, then £0.20/€0.20 each
- **Grow:** 100 free/month, then £0.20/€0.20 each
- **Scale:** 1,000 free/month, then £0.20/€0.20 each
- **Enterprise:** Custom

**International Transfers:**
- **Basic:** 0 free (£5/€5 per transfer)
- **Grow:** 5 free/month, then £5/€5 each
- **Scale:** 25 free/month, then £5/€5 each
- **Enterprise:** Custom

**FX Exchange at Interbank Rate:**
- **Basic:** £1,000/€1,000 allowance
- **Grow:** Up to £15,000/€15,000
- **Scale:** Up to £60,000/€60,000
- **Enterprise:** Custom (markup applies beyond allowance)

**ATM Withdrawals:**
- All plans: 2% fee
- Daily limits: £3,000 (Basic) to £10,000 (Scale/Enterprise)

**Payment Acceptance (UK):**
- Domestic consumer cards: 1% + £0.20
- International/commercial cards: 2.8% + £0.20
- Revolut Pay (personal): 1% + £0.20
- Tap to Pay on iPhone: 1% + £0.20 (capped at £5)
- Chargebacks: £15 (refunded if won)

**Savings Interest (variable):**
- **Basic:** ~1% p.a.
- **Grow:** ~1.25% p.a.
- **Scale:** ~1.55% p.a.
- **Enterprise:** Up to ~2% p.a.

**Crypto Trading:**
- **Basic:** 1.49%
- **Grow:** 0.99%
- **Scale/Enterprise:** 0.49%

**Hardware:**
- Revolut Terminal: £169 + VAT
- Lite Terminal: £129 + VAT
- No monthly terminal fees

---

### **Recent Price Changes**

In 2026, Revolut notified UK customers of price increases for Plus, Premium, and Metal plans. As part of this change, Premium and Metal plans now include access to lifestyle app subscriptions (Tinder, Deliveroo, Financial Times, etc.), adding up to £1,730 in annual value depending on the plan tier.

---

### **Key Differences Across Tiers**

The main differentiators are:
1. **Monthly allowances** (FX exchange, ATM withdrawals, free transfers) increase significantly with higher tiers
2. **Fee percentages** decrease for premium tiers (especially for crypto, stock trading, and international transfers)
3. **Premium perks** like travel insurance, lounge access, and subscription bundles are exclusive to higher personal tiers
4. **Business plans** scale with transaction volume needs and offer better rates for high-volume operations

Annual subscriptions are available for Business Grow, Scale, and Enterprise plans, offering savings of up to 28%.",True,PASS,"The system's answer provides all the key pricing information from the reference (Standard Free, Plus £3.99/month, Premium £7.99/month, Metal £14.99/month, Ultra £55/month) and mentions the declared annual benefits for Premium and Metal plans (~£1,730 and ~£2,200 respectively, which are consistent with the reference's ~£1,750 and ~£3,750). While the system provides significantly more detail than the reference and includes business plans not mentioned in the reference, it does not contradict any of the reference's core facts."
cala,12,What new products and features has the competitor (Revolut) recently announced?,"«Revolut reveals 2025 vision, with AI assistant, mortgages, and ATMs on the horizon» and «Revolut reports record profit of $2.3bn for 2025 as revenue surges to $6bn».",,False,ERROR,"Call failed, nothing to grade: {""code"": ""UPSTREAM_ERROR"", ""message"": ""Agent Runtime call failed: "", ""retryable"": false, ""details"": {}}"
cala,14,What do users value and complain about in the competitor's (Revolut) app reviews?,"«4.7 out of 5 (69K Ratings). Featured review: 'Optionality for $160 year unbeatable' (praising the investment section and the high-yield account), alongside criticism such as 'Extremely Glitchy Compared to TransferWise' and 'One of the absolute worst apps I ever used'.»","## What Users Value About Revolut's App

**Speed and Ease of Use**
Users consistently praise Revolut's intuitive interface and fast transaction processing. The app is described as simple and full of features, making financial management straightforward.

**International Capabilities**
Multi-currency accounts, competitive exchange rates, and the ability to send money to 160+ countries are among the most-cited advantages. Travelers and expats particularly value spending abroad with low fees, with users able to hold up to 36 currencies in-app and spend in 150+ currencies.

**All-in-One ""Super App""**
Revolut combines banking, payments, investing (stocks and crypto), expense tracking, and budgeting tools in a single platform, which users find highly convenient. This comprehensive approach eliminates the need for multiple financial apps.

**Lower Fees Than Traditional Banks**
Users highlight significant savings on foreign exchange, transfers, and everyday spending compared to legacy banks.

**Security Features**
Two-factor authentication, disposable virtual cards, single-use virtual cards for extra protection, and real-time transaction alerts are appreciated by users. The 24/7 financial crime team and AI-based fraud detection algorithms provide peace of mind.

**Continuous Improvement**
Long-term users note that Revolut keeps adding features and improving quality over time, demonstrating ongoing innovation.

**Overall Ratings**
The app maintains strong ratings of 4.7/5 on the App Store and 4.9/5 on Revolut's own review pages (as of August-September 2026), with hundreds of thousands of reviews showing generally positive sentiment.

---

## What Users Complain About

**1. Customer Support (Most Frequent Complaint)**
Users report slow, unhelpful responses, over-reliance on AI chatbots and scripted answers, and difficulty reaching a human agent—especially when locked out of their accounts. This is the most consistent pain point across reviews.

**2. Account Restrictions and Frozen Funds**
Multiple users report accounts being restricted or funds frozen without clear explanation or timely resolution. This causes significant frustration and anxiety, particularly when users need access to their money urgently.

**3. Hidden or Unexpected Fees**
Charges for crypto transactions, subscription cancellations, and certain currency exchanges catch users off guard. Users feel these fees are not clearly communicated upfront.

**4. Fraud and Scam Complaint Handling**
Revolut recorded the highest number of fraud complaints escalated to the UK Financial Ombudsman Service (FOS):
- **2024:** 3,242 APP (Authorised Push Payment) fraud complaints and 2,631 other fraud/scam complaints
- **2025 (first 8 months):** 1,333 APP fraud complaints with a 37% uphold rate (meaning the FOS sided with the customer in 37% of cases)
- Which? flagged Revolut as the worst UK firm for fraud complaints as of October 2025

**5. Data Privacy Concerns**
Some users express unease about Revolut sharing data with third-party apps and recent policy changes around data collection.

**6. Difficulty Deleting Accounts**
Users report cumbersome processes when trying to close their accounts or access support while locked out.

---

## Summary

Users primarily value Revolut for its **speed, low-cost international transfers, multi-currency support, and feature-rich all-in-one platform**. The main areas of dissatisfaction center on **customer support quality, unexplained account freezes, hidden fees, and fraud complaint handling**. While the app maintains high ratings, the volume of fraud-related complaints escalated to regulators represents a notable concern that distinguishes Revolut from competitors.",True,PARTIAL,"The system's answer correctly identifies the 4.7/5 rating and provides extensive detail about what users value and complain about in Revolut's app. However, it does not include the specific featured review quotes mentioned in the reference ('Optionality for $160 year unbeatable', 'Extremely Glitchy Compared to TransferWise', 'One of the absolute worst apps I ever used'), which appear to be key examples the reference wanted highlighted."
cala,17,What senior-position profiles and requirements does a peer (BBVA) publish for leadership roles?,"«BBVA — Job portal (Workday, bbva.wd3.myworkdayjobs.com). Senior/leadership vacancies, e.g. 'Executive Director — Securitization, ABS Origination & Structuring' (New York), 'Data Engineering Senior Manager I', 'Software Senior Manager I (BSI)'. Each posting specifies area/location, seniority level, key responsibilities and required qualifications (years of experience, technical skills, languages).»",,False,ERROR,"Call failed, nothing to grade: {""code"": ""UPSTREAM_ERROR"", ""message"": ""Agent Runtime call failed: "", ""retryable"": false, ""details"": {}}"
