vendor,id,query,ok,input_tokens,output_tokens,total_tokens,latency_ms,tool_call_count,tool_names,error
cala,1,What is the governance procedure in force and its latest version regulating the suitability and composition of a credit institution's management body?,True,75562,3844,79406,57522,4,"knowledge_search, entity_search, entity_retrieval, AskContent",
cala,2,What are the key takeaways of CEOE reports affecting the financial sector?,True,15928,1217,17145,26969,2,"knowledge_search, AskContent",
cala,4,What is the sector's stance (CECA) on banking regulation in Spain?,True,18681,2794,21475,45526,3,"knowledge_search, entity_search, AskContent",
cala,5,What is the public market outlook and the sector and competitor signals in financial services per the consultancy's latest report?,True,13424,1481,14905,93649,2,"knowledge_search, AskContent",
cala,7,What are the competitor's (Nubank) annual KPIs and how did they evolve in 2023 against its company priorities?,True,46939,3173,50112,59079,5,"knowledge_search, entity_search, entity_introspection, entity_retrieval, AskContent",
cala,9,What new products and account features does the competitor (N26) offer?,False,,,,100081,0,,RuntimeError: no JSON-RPC response with id=3 in AgentCore response body
cala,10,"What are the competitor's (Revolut) plans, prices and fee changes and how do they differ by tier?",True,23121,2562,25683,109127,3,"entity_search, knowledge_search, AskContent",
cala,12,What new products and features has the competitor (Revolut) recently announced?,True,31687,2876,34563,200378,5,"knowledge_search, entity_search, entity_introspection, knowledge_search, AskContent",
cala,14,What do users value and complain about in the competitor's (Revolut) app reviews?,True,19239,1810,21049,95447,3,"entity_search, knowledge_search, AskContent",
cala,17,What senior-position profiles and requirements does a peer (BBVA) publish for leadership roles?,True,75018,3135,78153,232918,5,"entity_search, knowledge_search, knowledge_search, knowledge_search, AskContent",
cala,18,What is a peer's (BNP Paribas) leadership org structure and the responsibilities of each member?,True,94864,4590,99454,172499,9,"entity_search, entity_introspection, entity_retrieval, knowledge_search, knowledge_search, knowledge_search, knowledge_search, knowledge_search, AskContent",
cala,20,What is the average CET1 capital ratio and NPL ratio of EU banks in the latest quarter?,True,14111,947,15058,66416,2,"knowledge_search, AskContent",
cala,22,What capital and liquidity (LCR) levels do significant institutions supervised by the ECB report?,True,14377,1752,16129,69683,2,"knowledge_search, AskContent",
cala,24,"What has been the trend of Spain's GDP, inflation (HICP) and unemployment in recent years?",True,70796,2948,73744,173429,8,"entity_search, knowledge_search, knowledge_search, knowledge_search, entity_introspection, entity_retrieval, knowledge_search, AskContent",
cala,26,What is the ECB's official interest rate and the latest M3 monetary aggregate?,True,23636,1229,24865,72165,3,"knowledge_search, knowledge_search, AskContent",
cala,29,How have the federal funds rate and the US unemployment rate evolved over the last 24 months?,True,43744,2619,46363,105219,5,"entity_search, entity_search, knowledge_search, knowledge_search, AskContent",
cala,30,What is the aggregate credit exposure of the financial system in Brazil for the period?,True,11598,1212,12810,83777,2,"knowledge_search, AskContent",
cala,32,Does a company (CNPJ) have registered tax debt or insolvency status in the Union's active-debt registry?,True,6168,407,6575,12549,1,AskContent,
cala,33,What is a company's tax-compliance status (CNPJ) and address/activity verification in Brazil?,True,22391,2912,25303,104017,3,"knowledge_search, knowledge_search, AskContent",
cala,35,What are the latest filings and capital changes of a company at the São Paulo commercial registry (JUCESP)?,True,6099,299,6398,11657,1,AskContent,
cala,36,How many new cars were registered in the EU and what is the battery-electric market share in the latest period?,True,40724,1362,42086,115668,3,"knowledge_search, knowledge_search, AskContent",
cala,37,What are the competitor's (Nubank) annual revenue and net income from its financial filings?,True,29380,1652,31032,67980,5,"entity_search, entity_introspection, entity_retrieval, knowledge_search, AskContent",
cala,39,"What are market earnings by occupation, including managers, for senior-role benchmarking?",True,23649,2311,25960,104459,2,"knowledge_search, AskContent",
cala,41,"What candidate records does the ICIJ Offshore Leaks Database return for “Miguel Ângelo Varela”, born on 9 September 1976, Portuguese national, residing at Avenida do Atlântico 42, 1990-019 Lisboa, Portugal?
Search using the exact name, the unaccented variant “Miguel Angelo Varela”, and the reordered variant “Varela, Miguel Ângelo”. Return the matched name, node type, node ID, linked entity, role, jurisdiction, status, source dataset, linked countries, addresses, relationships, identity assessment, evidence URL, executed search parameters and search timestamp.",True,46597,2227,48824,119575,9,"entity_search, entity_search, entity_search, knowledge_search, knowledge_search, knowledge_search, knowledge_query, knowledge_search, AskContent",
cala,43,"What potentially relevant results are available for “Aurora Verde Logística, Lda.”, NIPC 517845230, headquartered at Rua do Freixo 221, 4300-219 Porto, Portugal?

Search the complete first page of results using:

1. “Aurora Verde Logística, Lda.”
2. “Aurora Verde Logistica”
3. “Aurora Verde Logística” “517845230”
4. “Aurora Verde Logística” fraude OR branqueamento OR corrupção
5. “Aurora Verde Logística” sanções OR investigação OR processo

For each result, return the executed query, title, publisher, publication date, URL, source type, topic classification, neutral summary, identity assessment, relevance assessment and primary-source reference where available.",True,29478,3500,32978,93515,9,"knowledge_search, knowledge_search, knowledge_search, knowledge_search, knowledge_search, entity_search, entity_search, knowledge_search, AskContent",
cala,45,"A public web-search result alleges that “Norte Claro Construções, S.A.”, NIPC 509884321, headquartered at Avenida Central 77, 4710-228 Braga, Portugal, was charged in connection with case 88/25.4TELSB.

What official public records confirm, refute or clarify this result?

Search the official websites of the Public Prosecutor’s Office, DCIAP, Judicial Police, applicable courts and regulators. Return the issuing authority, document title, publication date, case reference, procedural event, procedural status stated by the source, neutral factual summary, identity-match assessment, verification outcome and official URL.",True,52866,3010,55876,180902,10,"entity_search, knowledge_search, knowledge_search, knowledge_search, knowledge_search, knowledge_search, knowledge_search, knowledge_search, knowledge_search, AskContent",
cala,47,"What LinkedIn professional information is available for “Beatriz Leonor Matos”, currently reported as Compliance Manager at Solaris Payments, S.A., in Lisboa, Portugal?

Return the candidate profile reference, listed professional roles, employers, employment dates, professional affiliations, available location, authorized access method, identity-match assessment, matching or conflicting attributes and access timestamp.

Do not access restricted profile content or use automated profile scraping.",True,43365,1932,45297,71917,7,"entity_search, entity_search, knowledge_query, knowledge_search, entity_retrieval, entity_retrieval, AskContent",
cala,49,"A relevant UK link has been identified for “Northbridge Solar Projects Ltd”, company number 14876543, with registered office at 22 Kingfisher Lane, Manchester M1 4AB, United Kingdom.

What official Companies House records are available for this company?

Return the legal name, company number, company status, company type, incorporation date, registered office, previous company names, current officers, persons with significant control, relevant filings, charges, insolvency information, identity-match assessment, relevant FCC alerts, official evidence references and search timestamp.",True,31315,1381,32696,92859,5,"entity_search, knowledge_search, knowledge_search, knowledge_search, AskContent",
