vendor,id,query,ok,input_tokens,output_tokens,total_tokens,latency_ms,tool_call_count,tool_names,error
linkup,1,What is the governance procedure in force and its latest version regulating the suitability and composition of a credit institution's management body?,True,145222,3224,148446,62643,4,"linkup-search, linkup-search, linkup-fetch, AskContent",
linkup,2,What are the key takeaways of CEOE reports affecting the financial sector?,True,52567,2767,55334,52743,3,"linkup-search, linkup-search, AskContent",
linkup,4,What is the sector's stance (CECA) on banking regulation in Spain?,True,22536,2333,24869,47275,2,"linkup-search, AskContent",
linkup,5,What is the public market outlook and the sector and competitor signals in financial services per the consultancy's latest report?,True,176124,2148,178272,63443,4,"linkup-search, linkup-search, linkup-fetch, AskContent",
linkup,7,What are the competitor's (Nubank) annual KPIs and how did they evolve in 2023 against its company priorities?,True,212929,4391,217320,96379,6,"linkup-search, linkup-search, linkup-fetch, linkup-search, linkup-search, AskContent",
linkup,9,What new products and account features does the competitor (N26) offer?,True,99129,3479,102608,75512,4,"linkup-search, linkup-search, linkup-search, AskContent",
linkup,10,"What are the competitor's (Revolut) plans, prices and fee changes and how do they differ by tier?",True,63432,4463,67895,76941,3,"linkup-search, linkup-search, AskContent",
linkup,12,What new products and features has the competitor (Revolut) recently announced?,True,47803,3701,51504,66759,3,"linkup-search, linkup-search, AskContent",
linkup,14,What do users value and complain about in the competitor's (Revolut) app reviews?,True,59582,3752,63334,74937,3,"linkup-search, linkup-search, AskContent",
linkup,17,What senior-position profiles and requirements does a peer (BBVA) publish for leadership roles?,True,87509,2653,90162,67215,4,"linkup-search, linkup-search, linkup-search, AskContent",
linkup,18,What is a peer's (BNP Paribas) leadership org structure and the responsibilities of each member?,True,263990,6623,270613,148304,7,"linkup-search, linkup-search, linkup-fetch, linkup-search, linkup-search, linkup-search, AskContent",
linkup,20,What is the average CET1 capital ratio and NPL ratio of EU banks in the latest quarter?,True,64840,2461,67301,50411,3,"linkup-search, linkup-search, AskContent",
linkup,22,What capital and liquidity (LCR) levels do significant institutions supervised by the ECB report?,True,61723,3595,65318,59362,3,"linkup-search, linkup-search, AskContent",
linkup,24,"What has been the trend of Spain's GDP, inflation (HICP) and unemployment in recent years?",True,48777,4822,53599,80161,4,"linkup-search, linkup-search, linkup-search, AskContent",
linkup,26,What is the ECB's official interest rate and the latest M3 monetary aggregate?,True,115284,2887,118171,51003,5,"linkup-search, linkup-search, linkup-search, linkup-search, AskContent",
linkup,29,How have the federal funds rate and the US unemployment rate evolved over the last 24 months?,True,112582,3766,116348,64004,5,"linkup-search, linkup-search, linkup-search, linkup-search, AskContent",
linkup,30,What is the aggregate credit exposure of the financial system in Brazil for the period?,True,108297,2680,110977,55944,4,"linkup-search, linkup-search, linkup-search, AskContent",
linkup,32,Does a company (CNPJ) have registered tax debt or insolvency status in the Union's active-debt registry?,True,9367,377,9744,12002,1,AskContent,
linkup,33,What is a company's tax-compliance status (CNPJ) and address/activity verification in Brazil?,True,27054,4337,31391,79871,2,"linkup-search, AskContent",
linkup,35,What are the latest filings and capital changes of a company at the São Paulo commercial registry (JUCESP)?,True,111004,3739,114743,71325,4,"linkup-search, linkup-search, linkup-search, AskContent",
linkup,36,How many new cars were registered in the EU and what is the battery-electric market share in the latest period?,True,27416,1913,29329,32453,2,"linkup-search, AskContent",
linkup,37,What are the competitor's (Nubank) annual revenue and net income from its financial filings?,True,60721,1645,62366,32485,3,"linkup-search, linkup-search, AskContent",
linkup,39,"What are market earnings by occupation, including managers, for senior-role benchmarking?",True,109164,5861,115025,89162,4,"linkup-search, linkup-search, linkup-search, AskContent",
linkup,41,Isabel José dos Santos tem relações com entidades offshore?,True,24315,4325,28640,74398,2,"linkup-search, AskContent",
linkup,43,"Que informação pública existe sobre Isabel José dos Santos e existem referências materiais, judiciais ou reputacionais?",True,212522,11312,223834,188567,5,"linkup-search, linkup-search, linkup-search, AskContent, AskContent",
linkup,45,Existe comunicação oficial relacionada com José Sócrates?,True,27274,3680,30954,62138,2,"linkup-search, AskContent",
linkup,47,O percurso profissional público de Ana Botín é consistente com a informação declarada?,True,82594,3541,86135,70827,4,"linkup-search, linkup-search, linkup-search, AskContent",
linkup,49,A REVOLUT LTD está registada no Reino Unido e qual é o seu histórico societário?,True,137083,5335,142418,89758,8,"linkup-search, linkup-search, linkup-fetch, linkup-fetch, linkup-fetch, linkup-fetch, linkup-search, AskContent",
linkup,52,Qual é o estado atual da ALCEA HOLDING LIMITED e que informação societária está disponível?,True,121758,2753,124511,79411,5,"linkup-search, linkup-search, linkup-search, linkup-search, AskContent",
linkup,55,"O BANCO SANTANDER TOTTA, S.A. possui LEI e qual é a sua estrutura de relacionamento societário declarada?",True,291268,3634,294902,78344,9,"linkup-search, linkup-search, linkup-search, linkup-fetch, linkup-search, linkup-search, linkup-search, linkup-search, AskContent",
linkup,71,Who is Leopoldo Alejandro Betancourt López? What are his corporate affiliations and any known risks or red flags associated with him?,True,86230,6510,92740,123256,4,"linkup-search, linkup-search, linkup-search, AskContent",
linkup,73,"Who owns and controls Allwyn Investments Cyprus Ltd, and what companies is it connected to?",True,59152,2569,61721,63081,3,"linkup-search, linkup-search, AskContent",
linkup,75,"Who is Ali Ansari? What sanctions or watchlist designations apply to him, and what companies is he connected to?",True,104614,5988,110602,114063,5,"linkup-search, linkup-search, linkup-search, linkup-search, AskContent",
