vendor,id,query,ok,input_tokens,output_tokens,total_tokens,latency_ms,tool_call_count,tool_names,error
linkup,1,What is the governance procedure in force and its latest version regulating the suitability and composition of a credit institution's management body?,True,76616,1983,78599,86345,4,"linkup-search, linkup-search, linkup-search, AskContent",
linkup,2,What are the key takeaways of CEOE reports affecting the financial sector?,True,88916,2232,91148,126273,5,"linkup-search, linkup-search, linkup-search, linkup-search, AskContent",
linkup,4,What is the sector's stance (CECA) on banking regulation in Spain?,True,23140,2057,25197,48642,2,"linkup-search, AskContent",
linkup,5,What is the public market outlook and the sector and competitor signals in financial services per the consultancy's latest report?,True,108178,2545,110723,74285,4,"linkup-search, linkup-search, linkup-fetch, AskContent",
linkup,7,What are the competitor's (Nubank) annual KPIs and how did they evolve in 2023 against its company priorities?,True,154675,3882,158557,112462,5,"linkup-search, linkup-search, linkup-search, linkup-search, AskContent",
linkup,9,What new products and account features does the competitor (N26) offer?,True,48754,3133,51887,74305,3,"linkup-search, linkup-search, AskContent",
linkup,10,"What are the competitor's (Revolut) plans, prices and fee changes and how do they differ by tier?",True,62227,3317,65544,76177,3,"linkup-search, linkup-search, AskContent",
linkup,12,What new products and features has the competitor (Revolut) recently announced?,True,30323,2844,33167,60950,3,"linkup-search, linkup-search, AskContent",
linkup,14,What do users value and complain about in the competitor's (Revolut) app reviews?,True,56822,3128,59950,84535,3,"linkup-search, linkup-search, AskContent",
linkup,17,What senior-position profiles and requirements does a peer (BBVA) publish for leadership roles?,True,149686,2683,152369,83370,5,"linkup-search, linkup-search, linkup-search, linkup-fetch, AskContent",
linkup,18,What is a peer's (BNP Paribas) leadership org structure and the responsibilities of each member?,True,138937,5807,144744,146737,5,"linkup-search, linkup-search, linkup-search, linkup-search, AskContent",
linkup,20,What is the average CET1 capital ratio and NPL ratio of EU banks in the latest quarter?,True,23035,1716,24751,40612,2,"linkup-search, AskContent",
linkup,22,What capital and liquidity (LCR) levels do significant institutions supervised by the ECB report?,True,22635,2776,25411,49874,2,"linkup-search, AskContent",
linkup,24,"What has been the trend of Spain's GDP, inflation (HICP) and unemployment in recent years?",True,50196,4155,54351,75265,4,"linkup-search, linkup-search, linkup-search, AskContent",
linkup,26,What is the ECB's official interest rate and the latest M3 monetary aggregate?,True,107653,2612,110265,52083,5,"linkup-search, linkup-search, linkup-search, linkup-search, AskContent",
linkup,29,How have the federal funds rate and the US unemployment rate evolved over the last 24 months?,True,23348,3192,26540,57678,2,"linkup-search, AskContent",
linkup,30,What is the aggregate credit exposure of the financial system in Brazil for the period?,True,103289,2430,105719,75158,4,"linkup-search, linkup-search, linkup-search, AskContent",
linkup,32,Does a company (CNPJ) have registered tax debt or insolvency status in the Union's active-debt registry?,True,59218,3686,62904,76011,3,"linkup-search, linkup-search, AskContent",
linkup,33,What is a company's tax-compliance status (CNPJ) and address/activity verification in Brazil?,True,23583,3741,27324,73893,2,"linkup-search, AskContent",
linkup,35,What are the latest filings and capital changes of a company at the São Paulo commercial registry (JUCESP)?,True,6467,310,6777,12336,1,AskContent,
linkup,36,How many new cars were registered in the EU and what is the battery-electric market share in the latest period?,True,65835,1704,67539,34649,3,"linkup-search, linkup-search, AskContent",
linkup,37,What are the competitor's (Nubank) annual revenue and net income from its financial filings?,True,54356,1665,56021,42559,3,"linkup-search, linkup-search, AskContent",
linkup,39,"What are market earnings by occupation, including managers, for senior-role benchmarking?",True,88388,4693,93081,88601,4,"linkup-search, linkup-search, linkup-search, AskContent",
linkup,41,"What candidate records does the ICIJ Offshore Leaks Database return for “Miguel Ângelo Varela”, born on 9 September 1976, Portuguese national, residing at Avenida do Atlântico 42, 1990-019 Lisboa, Portugal?
Search using the exact name, the unaccented variant “Miguel Angelo Varela”, and the reordered variant “Varela, Miguel Ângelo”. Return the matched name, node type, node ID, linked entity, role, jurisdiction, status, source dataset, linked countries, addresses, relationships, identity assessment, evidence URL, executed search parameters and search timestamp.",True,238788,3788,242576,121922,12,"linkup-search, linkup-search, linkup-search, linkup-fetch, linkup-fetch, linkup-fetch, linkup-search, linkup-search, linkup-fetch, linkup-fetch, linkup-search, AskContent",
linkup,43,"What potentially relevant results are available for “Aurora Verde Logística, Lda.”, NIPC 517845230, headquartered at Rua do Freixo 221, 4300-219 Porto, Portugal?

Search the complete first page of results using:

1. “Aurora Verde Logística, Lda.”
2. “Aurora Verde Logistica”
3. “Aurora Verde Logística” “517845230”
4. “Aurora Verde Logística” fraude OR branqueamento OR corrupção
5. “Aurora Verde Logística” sanções OR investigação OR processo

For each result, return the executed query, title, publisher, publication date, URL, source type, topic classification, neutral summary, identity assessment, relevance assessment and primary-source reference where available.",True,29242,2716,31958,66316,6,"linkup-search, linkup-search, linkup-search, linkup-search, linkup-search, AskContent",
linkup,45,"A public web-search result alleges that “Norte Claro Construções, S.A.”, NIPC 509884321, headquartered at Avenida Central 77, 4710-228 Braga, Portugal, was charged in connection with case 88/25.4TELSB.

What official public records confirm, refute or clarify this result?

Search the official websites of the Public Prosecutor’s Office, DCIAP, Judicial Police, applicable courts and regulators. Return the issuing authority, document title, publication date, case reference, procedural event, procedural status stated by the source, neutral factual summary, identity-match assessment, verification outcome and official URL.",True,262205,3254,265459,117578,12,"linkup-search, linkup-search, linkup-search, linkup-search, linkup-search, linkup-search, linkup-fetch, linkup-search, linkup-search, linkup-fetch, linkup-fetch, AskContent",
linkup,47,"What LinkedIn professional information is available for “Beatriz Leonor Matos”, currently reported as Compliance Manager at Solaris Payments, S.A., in Lisboa, Portugal?

Return the candidate profile reference, listed professional roles, employers, employment dates, professional affiliations, available location, authorized access method, identity-match assessment, matching or conflicting attributes and access timestamp.

Do not access restricted profile content or use automated profile scraping.",True,117631,2023,119654,117538,7,"linkup-search, linkup-search, linkup-search, linkup-search, linkup-search, linkup-search, AskContent",
linkup,49,"A relevant UK link has been identified for “Northbridge Solar Projects Ltd”, company number 14876543, with registered office at 22 Kingfisher Lane, Manchester M1 4AB, United Kingdom.

What official Companies House records are available for this company?

Return the legal name, company number, company status, company type, incorporation date, registered office, previous company names, current officers, persons with significant control, relevant filings, charges, insolvency information, identity-match assessment, relevant FCC alerts, official evidence references and search timestamp.",True,103625,3530,107155,103540,9,"linkup-search, linkup-fetch, linkup-fetch, linkup-fetch, linkup-fetch, linkup-fetch, linkup-search, linkup-search, AskContent",
linkup,52,"What candidate company and officer records does OpenCorporates return for “Atlântico Biotech Ltd” and “Rui Manuel Seabra” across the relevant jurisdictions?

The expected company is registered in Malta and has the following known information:

Company name: Atlântico Biotech Ltd
Expected jurisdiction: Malta
Registered address: 14 Marina Street, Valletta VLT 1160, Malta
Known officer: Rui Manuel Seabra
Expected role: Director

Search using the company-name variants “Atlântico Biotech Ltd”, “Atlantico Biotech Ltd” and “Atlantico Biotechnology”, together with the officer name “Rui Manuel Seabra”.

For each candidate, return the company name, company number, jurisdiction, status, incorporation or dissolution date, registered address, previous names, officers and roles, available ownership information, source registry, registry URL, provenance, identity classification and official-registry verification status.",True,224844,4321,229165,188626,23,"linkup-search, linkup-search, linkup-search, linkup-search, linkup-fetch, linkup-search, linkup-search, linkup-search, linkup-fetch, linkup-search, linkup-search, linkup-search, linkup-fetch, linkup-search, linkup-search, linkup-search, linkup-fetch, linkup-fetch, linkup-search, linkup-search, linkup-search, linkup-search, AskContent",
