vendor,id,query,ok,input_tokens,output_tokens,total_tokens,latency_ms,tool_call_count,tool_names,error
cala,1,What is the governance procedure in force and its latest version regulating the suitability and composition of a credit institution's management body?,True,129753,2646,132399,123727,5,"knowledge_search, entity_search, entity_retrieval, entity_retrieval, AskContent",
cala,2,What are the key takeaways of CEOE reports affecting the financial sector?,True,20433,1800,22233,36761,2,"knowledge_search, AskContent",
cala,4,What is the sector's stance (CECA) on banking regulation in Spain?,True,23158,3097,26255,109873,2,"knowledge_search, AskContent",
cala,5,What is the public market outlook and the sector and competitor signals in financial services per the consultancy's latest report?,True,16554,1929,18483,28320,2,"knowledge_search, AskContent",
cala,7,What are the competitor's (Nubank) annual KPIs and how did they evolve in 2023 against its company priorities?,True,34203,2278,36481,70854,4,"entity_search, entity_introspection, knowledge_search, AskContent",
cala,9,What new products and account features does the competitor (N26) offer?,True,56281,5780,62061,165314,4,"entity_search, knowledge_search, knowledge_search, AskContent",
cala,10,"What are the competitor's (Revolut) plans, prices and fee changes and how do they differ by tier?",False,,,,240248,0,,"{""code"": ""UPSTREAM_ERROR"", ""message"": ""Agent Runtime call failed: "", ""retryable"": false, ""details"": {}}"
cala,12,What new products and features has the competitor (Revolut) recently announced?,True,25072,3035,28107,117501,2,"knowledge_search, AskContent",
cala,14,What do users value and complain about in the competitor's (Revolut) app reviews?,True,20693,2302,22995,40157,2,"knowledge_search, AskContent",
cala,17,What senior-position profiles and requirements does a peer (BBVA) publish for leadership roles?,True,31017,3420,34437,136491,3,"entity_search, knowledge_search, AskContent",
cala,18,What is a peer's (BNP Paribas) leadership org structure and the responsibilities of each member?,True,113590,5644,119234,207408,8,"entity_search, entity_introspection, entity_retrieval, knowledge_search, knowledge_search, knowledge_search, knowledge_search, AskContent",
cala,20,What is the average CET1 capital ratio and NPL ratio of EU banks in the latest quarter?,True,18741,2533,21274,99066,3,"knowledge_search, knowledge_search, AskContent",
cala,22,What capital and liquidity (LCR) levels do significant institutions supervised by the ECB report?,True,16747,1888,18635,72295,2,"knowledge_search, AskContent",
cala,24,"What has been the trend of Spain's GDP, inflation (HICP) and unemployment in recent years?",True,57687,911,58598,101680,5,"knowledge_search, entity_search, entity_introspection, entity_retrieval, AskContent",
cala,26,What is the ECB's official interest rate and the latest M3 monetary aggregate?,True,74783,4372,79155,207288,6,"knowledge_search, knowledge_search, knowledge_query, entity_search, knowledge_search, AskContent",
cala,29,How have the federal funds rate and the US unemployment rate evolved over the last 24 months?,True,20939,3961,24900,100783,3,"knowledge_search, knowledge_search, AskContent",
cala,30,What is the aggregate credit exposure of the financial system in Brazil for the period?,True,19061,2136,21197,94539,2,"knowledge_search, AskContent",
cala,32,Does a company (CNPJ) have registered tax debt or insolvency status in the Union's active-debt registry?,True,9870,474,10344,13124,1,AskContent,
cala,33,What is a company's tax-compliance status (CNPJ) and address/activity verification in Brazil?,True,18997,2813,21810,85843,2,"knowledge_search, AskContent",
cala,35,What are the latest filings and capital changes of a company at the São Paulo commercial registry (JUCESP)?,True,9759,262,10021,10437,1,AskContent,
cala,36,How many new cars were registered in the EU and what is the battery-electric market share in the latest period?,True,53672,3309,56981,185332,4,"knowledge_search, knowledge_search, knowledge_search, AskContent",
cala,37,What are the competitor's (Nubank) annual revenue and net income from its financial filings?,True,57778,2411,60189,165272,6,"entity_search, entity_introspection, knowledge_search, knowledge_query, knowledge_search, AskContent",
cala,39,"What are market earnings by occupation, including managers, for senior-role benchmarking?",True,16257,1456,17713,61374,2,"knowledge_search, AskContent",
cala,41,Isabel José dos Santos tem relações com entidades offshore?,True,43977,2654,46631,136701,5,"entity_search, entity_introspection, knowledge_search, entity_retrieval, AskContent",
cala,43,"Que informação pública existe sobre Isabel José dos Santos e existem referências materiais, judiciais ou reputacionais?",False,,,,240225,0,,"{""code"": ""UPSTREAM_ERROR"", ""message"": ""Agent Runtime call failed: "", ""retryable"": false, ""details"": {}}"
cala,45,Existe comunicação oficial relacionada com José Sócrates?,True,20231,2449,22680,87677,2,"knowledge_search, AskContent",
cala,47,O percurso profissional público de Ana Botín é consistente com a informação declarada?,True,63940,3922,67862,114284,5,"entity_search, entity_introspection, entity_retrieval, knowledge_search, AskContent",
cala,49,A REVOLUT LTD está registada no Reino Unido e qual é o seu histórico societário?,True,54059,3412,57471,192377,5,"entity_search, entity_introspection, entity_retrieval, knowledge_search, AskContent",
cala,52,Qual é o estado atual da ALCEA HOLDING LIMITED e que informação societária está disponível?,True,91681,2032,93713,87833,8,"entity_search, knowledge_search, entity_search, entity_introspection, entity_retrieval, entity_search, entity_retrieval, AskContent",
cala,55,"O BANCO SANTANDER TOTTA, S.A. possui LEI e qual é a sua estrutura de relacionamento societário declarada?",True,35289,3090,38379,42742,4,"entity_search, entity_introspection, entity_retrieval, AskContent",
cala,71,Who is Leopoldo Alejandro Betancourt López? What are his corporate affiliations and any known risks or red flags associated with him?,False,,,,240187,0,,"{""code"": ""UPSTREAM_ERROR"", ""message"": ""Agent Runtime call failed: "", ""retryable"": false, ""details"": {}}"
cala,73,"Who owns and controls Allwyn Investments Cyprus Ltd, and what companies is it connected to?",False,,,,240791,0,,"{""code"": ""UPSTREAM_ERROR"", ""message"": ""Agent Runtime call failed: "", ""retryable"": false, ""details"": {}}"
cala,75,"Who is Ali Ansari? What sanctions or watchlist designations apply to him, and what companies is he connected to?",False,,,,240339,0,,"{""code"": ""UPSTREAM_ERROR"", ""message"": ""Agent Runtime call failed: "", ""retryable"": false, ""details"": {}}"
sayari,1,What is the governance procedure in force and its latest version regulating the suitability and composition of a credit institution's management body?,True,54414,733,55147,26809,4,"search_entities, search_entities, search_entities, AskContent",
sayari,2,What are the key takeaways of CEOE reports affecting the financial sector?,True,141699,2133,143832,45863,6,"search_entities, search_entities, get_entity_profile, get_entity_profile, lookup_risk_factors, AskContent",
sayari,4,What is the sector's stance (CECA) on banking regulation in Spain?,True,259248,491,259739,50357,4,"search_entities, search_entities, search_entities, AskContent",
sayari,5,What is the public market outlook and the sector and competitor signals in financial services per the consultancy's latest report?,True,16197,706,16903,18652,1,AskContent,
sayari,7,What are the competitor's (Nubank) annual KPIs and how did they evolve in 2023 against its company priorities?,True,210692,883,211575,54933,4,"search_entities, search_entities, search_entities, AskContent",
sayari,9,What new products and account features does the competitor (N26) offer?,True,132254,715,132969,43835,2,"search_entities, AskContent",
sayari,10,"What are the competitor's (Revolut) plans, prices and fee changes and how do they differ by tier?",True,125616,675,126291,47822,2,"search_entities, AskContent",
sayari,12,What new products and features has the competitor (Revolut) recently announced?,True,228484,1091,229575,50246,2,"search_entities, AskContent",
sayari,14,What do users value and complain about in the competitor's (Revolut) app reviews?,True,16157,540,16697,15899,1,AskContent,
sayari,17,What senior-position profiles and requirements does a peer (BBVA) publish for leadership roles?,True,231639,1121,232760,55568,2,"search_entities, AskContent",
sayari,18,What is a peer's (BNP Paribas) leadership org structure and the responsibilities of each member?,True,654147,4132,658279,158248,7,"search_entities, get_entity_profile, search_entities, get_entity_profile, get_entity_profile, traverse_network, AskContent",
sayari,20,What is the average CET1 capital ratio and NPL ratio of EU banks in the latest quarter?,True,54465,716,55181,22627,4,"search_entities, search_entities, search_entities, AskContent",
sayari,22,What capital and liquidity (LCR) levels do significant institutions supervised by the ECB report?,True,54433,609,55042,19805,4,"search_entities, search_entities, search_entities, AskContent",
sayari,24,"What has been the trend of Spain's GDP, inflation (HICP) and unemployment in recent years?",True,16241,873,17114,20363,1,AskContent,
sayari,26,What is the ECB's official interest rate and the latest M3 monetary aggregate?,True,16118,596,16714,15054,1,AskContent,
sayari,29,How have the federal funds rate and the US unemployment rate evolved over the last 24 months?,True,16218,877,17095,19124,1,AskContent,
sayari,30,What is the aggregate credit exposure of the financial system in Brazil for the period?,True,16211,664,16875,17889,1,AskContent,
sayari,32,Does a company (CNPJ) have registered tax debt or insolvency status in the Union's active-debt registry?,True,16118,503,16621,14228,1,AskContent,
sayari,33,What is a company's tax-compliance status (CNPJ) and address/activity verification in Brazil?,True,160718,1386,162104,33745,4,"get_investigation_guidance, lookup_ontology, lookup_data_sources, AskContent",
sayari,35,What are the latest filings and capital changes of a company at the São Paulo commercial registry (JUCESP)?,True,16071,352,16423,12102,1,AskContent,
sayari,36,How many new cars were registered in the EU and what is the battery-electric market share in the latest period?,True,16120,455,16575,13880,1,AskContent,
sayari,37,What are the competitor's (Nubank) annual revenue and net income from its financial filings?,True,306567,1108,307675,58741,4,"search_entities, search_entities, get_entity_profile, AskContent",
sayari,39,"What are market earnings by occupation, including managers, for senior-role benchmarking?",True,16231,677,16908,17189,1,AskContent,
sayari,41,Isabel José dos Santos tem relações com entidades offshore?,True,331140,5204,336344,104860,7,"search_entities, get_entity_profile, get_entity_profile, get_entity_profile, get_entity_profile, find_downstream_entities, AskContent",
sayari,43,"Que informação pública existe sobre Isabel José dos Santos e existem referências materiais, judiciais ou reputacionais?",True,194187,3760,197947,75549,4,"search_entities, get_entity_profile, lookup_risk_factors, AskContent",
